file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,47
style.css,2,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,5
style.css,3,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,76
style.css,4,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,67
style.css,5,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,62
style.css,6,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,33
style.css,7,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,0
style.css,8,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
style.css,9,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,6
style.css,10,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,23
style.css,11,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,40
style.css,12,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,16
style.css,13,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,68
style.css,14,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,24
style.css,15,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
style.css,16,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
style.css,17,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,25
style.css,18,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,5
style.css,19,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,32
style.css,20,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,16
style.css,21,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,19
style.css,22,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,15
style.css,23,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
style.css,24,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
style.css,25,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,58
style.css,26,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,5
style.css,27,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,59
style.css,28,css,710482f4,zohasan123,2025-01-24,22:15:08,-08:00,2025-01-24T22:15:08-08:00,0,17
style.css,29,css,57aba01,zohasan123,2025-01-21,12:43:15,-08:00,2025-01-21T12:43:15-08:00,0,0
